team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
S.J,2008,S.J,2008020008,S.J,ANA,HOME,20081009,Team Level,other,0.5973,0.6667,0.6667,24.0,1.326,0.175,0.136,0.261,0.043,0.803,0.581,0.147,0.175,0.147,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.074,0.101,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.045,0.0,0.0,0.22,0.22,0.185,0.725,0.118,0.044,0.114,0.023,0.463,0.237,0.118,0.118,0.118,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.015,0.0,0.0,0.133,0.133,0.133
S.J,2008,S.J,2008020008,S.J,ANA,HOME,20081009,Team Level,all,0.7406,0.6117,0.6154,3600.0,34.463,3.628,2.876,7.565,1.112,20.046,12.773,3.37,3.642,3.384,41.0,7.0,15.0,63.0,4.0,3.0,1.0,6.0,0.0,13.0,22.0,37.0,44.0,2.0,4.0,35.0,23.0,6.0,8.0,32.0,12.0,4.0,1.166,1.357,1.105,1.0,1.0,2.0,64.278,48.0,48.39,4.0,0.658,0.666,0.666,3.62,3.634,3.428,20.186,1.271,1.268,4.608,0.701,11.966,9.252,1.234,1.249,1.213,29.0,1.0,10.0,40.0,1.0,2.0,0.0,10.0,0.0,10.0,7.0,28.0,29.0,7.0,14.0,25.0,14.0,4.0,1.0,26.0,4.0,0.0,0.649,0.622,0.0,1.0,0.0,0.0,38.441,30.0,29.452,0.0,0.278,0.23,0.23,1.254,1.24,1.212
S.J,2008,S.J,2008020008,S.J,ANA,HOME,20081009,Team Level,5on5,0.6423,0.5571,0.5769,2671.0,21.516,1.945,1.636,4.923,0.691,12.438,8.366,1.928,1.96,1.943,24.0,6.0,9.0,39.0,2.0,2.0,1.0,3.0,0.0,8.0,15.0,22.0,28.0,2.0,4.0,21.0,21.0,6.0,7.0,22.0,5.0,3.0,0.632,0.529,0.784,0.0,0.0,2.0,40.278,30.0,30.39,4.0,0.338,0.345,0.345,1.938,1.951,1.94,14.604,1.083,0.881,3.417,0.529,8.32,6.835,1.046,1.061,1.025,22.0,0.0,9.0,31.0,1.0,2.0,0.0,8.0,0.0,6.0,5.0,21.0,21.0,6.0,12.0,19.0,12.0,4.0,0.0,19.0,3.0,0.0,0.579,0.503,0.0,1.0,0.0,0.0,29.441,22.0,21.452,0.0,0.179,0.23,0.23,0.967,0.953,0.926
S.J,2008,S.J,2008020008,S.J,ANA,HOME,20081009,Team Level,4on5,0.0,0.2222,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.103,0.033,0.315,0.949,0.13,2.967,1.606,0.033,0.033,0.033,5.0,1.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0.078,0.0,0.0,0.111,0.111,0.111
S.J,2008,S.J,2008020008,S.J,ANA,HOME,20081009,Team Level,5on4,0.976,0.9524,0.9412,665.0,11.62,1.507,1.104,2.381,0.378,6.806,3.825,1.295,1.507,1.295,15.0,1.0,4.0,20.0,2.0,1.0,0.0,3.0,0.0,4.0,6.0,13.0,14.0,0.0,0.0,7.0,1.0,0.0,1.0,9.0,6.0,1.0,0.46,0.726,0.32,1.0,1.0,0.0,20.0,16.0,16.0,0.0,0.276,0.32,0.32,1.462,1.462,1.303,0.754,0.037,0.028,0.127,0.019,0.216,0.574,0.037,0.037,0.037,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.043,0.043,0.043
S.J,2008,S.J,2008020028,S.J,L.A,HOME,20081011,Team Level,other,1.0,0.5,1.0,84.0,0.736,0.027,0.05,0.124,0.019,0.538,0.242,0.027,0.027,0.027,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.012,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S.J,2008,S.J,2008020028,S.J,L.A,HOME,20081011,Team Level,all,0.7307,0.6699,0.7342,3600.0,42.489,4.737,3.503,9.034,1.236,23.685,15.805,4.556,4.59,4.412,41.0,17.0,11.0,69.0,3.0,5.0,1.0,7.0,0.0,21.0,22.0,38.0,55.0,4.0,8.0,30.0,24.0,11.0,11.0,39.0,12.0,7.0,1.458,1.304,1.975,1.0,1.0,1.0,67.475,58.0,56.741,3.0,0.773,1.324,1.324,4.186,4.076,3.957,15.077,1.746,1.032,2.946,0.467,7.908,6.9,1.744,1.77,1.767,13.0,8.0,13.0,34.0,1.0,0.0,0.0,3.0,0.0,7.0,10.0,12.0,20.0,6.0,12.0,22.0,24.0,3.0,7.0,14.0,6.0,1.0,0.362,0.812,0.572,0.0,0.0,1.0,33.861,21.0,21.08,2.0,0.229,0.0,0.0,1.976,2.003,1.997
S.J,2008,S.J,2008020028,S.J,L.A,HOME,20081011,Team Level,5on5,0.7432,0.6438,0.717,2489.0,28.062,3.004,2.174,6.129,0.809,15.076,10.808,2.948,2.857,2.804,30.0,8.0,9.0,47.0,2.0,4.0,1.0,5.0,0.0,14.0,13.0,28.0,36.0,3.0,6.0,20.0,19.0,7.0,9.0,26.0,7.0,5.0,0.872,0.714,1.417,0.0,1.0,1.0,45.475,38.0,36.741,3.0,0.451,1.009,1.009,2.446,2.336,2.318,10.797,1.038,0.672,2.299,0.351,5.718,4.922,1.037,1.061,1.06,8.0,7.0,11.0,26.0,0.0,0.0,0.0,3.0,0.0,5.0,7.0,8.0,15.0,6.0,12.0,14.0,19.0,3.0,6.0,10.0,5.0,0.0,0.331,0.707,0.0,0.0,0.0,0.0,25.861,15.0,15.08,1.0,0.137,0.0,0.0,1.175,1.203,1.201
S.J,2008,S.J,2008020028,S.J,L.A,HOME,20081011,Team Level,4on5,0.0891,0.1429,0.1667,398.0,0.739,0.059,0.031,0.095,0.016,0.21,0.589,0.059,0.059,0.059,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.059,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.066,0.066,0.066,3.732,0.603,0.327,0.59,0.088,1.949,1.443,0.601,0.603,0.601,4.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0,0.031,0.0,0.572,0.0,0.0,1.0,6.0,5.0,5.0,1.0,0.084,0.0,0.0,0.687,0.687,0.683
S.J,2008,S.J,2008020028,S.J,L.A,HOME,20081011,Team Level,5on4,0.9395,0.9524,0.9474,629.0,12.951,1.647,1.249,2.686,0.391,7.861,4.167,1.522,1.647,1.522,10.0,8.0,2.0,20.0,0.0,1.0,0.0,2.0,0.0,6.0,9.0,10.0,18.0,1.0,2.0,5.0,1.0,1.0,2.0,11.0,5.0,2.0,0.5,0.589,0.558,0.0,0.0,0.0,20.0,18.0,18.0,0.0,0.303,0.315,0.315,1.635,1.635,1.534,0.548,0.106,0.033,0.056,0.029,0.241,0.535,0.106,0.106,0.106,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.114,0.114,0.114
